Varaždinska,1262,175951,Varaždin,6,22,Predrag Štromar,139.42,30,ne,Varaždin,59,46946,Koprivničko-križevačka
Varaždinska,1262,175951,Varaždin,6,22,Predrag Štromar,139.42,30,ne,Varaždin,59,46946,Međimurska
Koprivničko-križevačka,1748,115584,Koprivnica,3,22,Darko Koren,66.12,37,ne,Koprivnica,90,30854,Virovitičko-podravska
Koprivničko-križevačka,1748,115584,Koprivnica,3,22,Darko Koren,66.12,37,ne,Koprivnica,90,30854,Bjelovarsko-bilogorska
Koprivničko-križevačka,1748,115584,Koprivnica,3,22,Darko Koren,66.12,37,ne,Koprivnica,90,30854,Zagrebačka
Koprivničko-križevačka,1748,115584,Koprivnica,3,22,Darko Koren,66.12,37,ne,Koprivnica,90,30854,Varaždinska
Koprivničko-križevačka,1748,115584,Koprivnica,3,22,Darko Koren,66.12,37,ne,Koprivnica,90,30854,Međimurska
Virovitičko-podravska,2024,84836,Virovitica,3,13,Tomislav Tolušić,41.91,31,ne,Virovitica,178,21291,Osječko-baranjska
Virovitičko-podravska,2024,84836,Virovitica,3,13,Tomislav Tolušić,41.91,31,ne,Virovitica,178,21291,Požeško-slavonska
Virovitičko-podravska,2024,84836,Virovitica,3,13,Tomislav Tolušić,41.91,31,ne,Virovitica,178,21291,Bjelovarsko-bilogorska
Virovitičko-podravska,2024,84836,Virovitica,3,13,Tomislav Tolušić,41.91,31,ne,Virovitica,178,21291,Koprivničko-križevačka
Požeško-slavonska,1823,78034,Požega,5,5,Alojz Tomašević,42.80,28,ne,Požega,133,26248,Osječko-baranjska
Požeško-slavonska,1823,78034,Požega,5,5,Alojz Tomašević,42.80,28,ne,Požega,133,26248,Virovitičko-podravska
Požeško-slavonska,1823,78034,Požega,5,5,Alojz Tomašević,42.80,28,ne,Požega,133,26248,Bjelovarsko-bilogorska
Požeško-slavonska,1823,78034,Požega,5,5,Alojz Tomašević,42.80,28,ne,Požega,133,26248,Brodsko-posavska
Požeško-slavonska,1823,78034,Požega,5,5,Alojz Tomašević,42.80,28,ne,Požega,133,26248,Sisačko-moslovačka
Međimurska,729,113804,Čakovec,3,22,Matija Posavec,156.16,33,da,Čakovec,72,27104,Koprivničko-križevačka
Međimurska,729,113804,Čakovec,3,22,Matija Posavec,156.16,33,da,Čakovec,72,27104,Varaždinska
Vukovarsko-srijemska,2454,179521,Vukovar,5,26,Damir Dekanić,73.15,37,ne,Vukovar,100,27683,Brodsko-posavska
Vukovarsko-srijemska,2454,179521,Vukovar,5,26,Damir Dekanić,73.15,37,ne,Vukovar,100,27683,Osječko-baranjska
Splitsko-dalmatinska,4540,454798,Split,16,39,Zlatko Ževrnja,100.30,47,da,Trogir,39,13192,Dubrovačko-neretvanska
Splitsko-dalmatinska,4540,454798,Split,16,39,Zlatko Ževrnja,100.30,47,da,Trogir,39,13192,Šibensko-kninska
Virovitičko-podravska,2024,84836,Virovitica,3,13,Tomislav Tolušić,41.91,31,ne,Slatina,156,14819,Osječko-baranjska
Virovitičko-podravska,2024,84836,Virovitica,3,13,Tomislav Tolušić,41.91,31,ne,Slatina,156,14819,Požeško-slavonska
Virovitičko-podravska,2024,84836,Virovitica,3,13,Tomislav Tolušić,41.91,31,ne,Slatina,156,14819,Bjelovarsko-bilogorska
Virovitičko-podravska,2024,84836,Virovitica,3,13,Tomislav Tolušić,41.91,31,ne,Slatina,156,14819,Koprivničko-križevačka
Šibensko-kninska,2984,109375,Šibenik,5,15,Goran Pauk,36.65,37,da,Knin,355,15407,Splitsko-dalmatinska
Šibensko-kninska,2984,109375,Šibenik,5,15,Goran Pauk,36.65,37,da,Knin,355,15407,Zadarska
Splitsko-dalmatinska,4540,454798,Split,16,39,Zlatko Ževrnja,100.30,47,da,Sinj,181,24826,Dubrovačko-neretvanska
Splitsko-dalmatinska,4540,454798,Split,16,39,Zlatko Ževrnja,100.30,47,da,Sinj,181,24826,Šibensko-kninska
Koprivničko-križevačka,1748,115584,Koprivnica,3,22,Darko Koren,66.12,37,ne,Križevci,263,21122,Virovitičko-podravska
Koprivničko-križevačka,1748,115584,Koprivnica,3,22,Darko Koren,66.12,37,ne,Križevci,263,21122,Bjelovarsko-bilogorska
Koprivničko-križevačka,1748,115584,Koprivnica,3,22,Darko Koren,66.12,37,ne,Križevci,263,21122,Zagrebačka
Koprivničko-križevačka,1748,115584,Koprivnica,3,22,Darko Koren,66.12,37,ne,Križevci,263,21122,Varaždinska
Koprivničko-križevačka,1748,115584,Koprivnica,3,22,Darko Koren,66.12,37,ne,Križevci,263,21122,Međimurska
Brodsko-posavska,2030,158575,Slavonski Brod,2,26,Danijel Marušić,78.11,37,ne,Nova Gradiška,50,15833,Sisačko-moslovačka
Brodsko-posavska,2030,158575,Slavonski Brod,2,26,Danijel Marušić,78.11,37,ne,Nova Gradiška,50,15833,Požeško-slavonska
Brodsko-posavska,2030,158575,Slavonski Brod,2,26,Danijel Marušić,78.11,37,ne,Nova Gradiška,50,15833,Osječko-baranjska
Brodsko-posavska,2030,158575,Slavonski Brod,2,26,Danijel Marušić,78.11,37,ne,Nova Gradiška,50,15833,Vukovarsko-srijemska
Splitsko-dalmatinska,4540,454798,Split,16,39,Zlatko Ževrnja,100.30,47,da,Makarska,40,13834,Dubrovačko-neretvanska
